date,year,casos,fallecidos
2020-03-03,2020,0,1
2020-03-04,2020,0,1
2020-03-06,2020,1,0
2020-03-07,2020,5,1
2020-03-08,2020,2,0
2020-03-09,2020,3,0
2020-03-10,2020,1,0
2020-03-11,2020,8,1
2020-03-12,2020,8,0
2020-03-13,2020,10,0
2020-03-14,2020,19,2
2020-03-15,2020,28,0
2020-03-16,2020,20,5
2020-03-17,2020,27,6
2020-03-18,2020,56,6
2020-03-19,2020,62,8
2020-03-20,2020,56,6
2020-03-21,2020,30,5
2020-03-22,2020,39,5
2020-03-23,2020,33,6
2020-03-24,2020,64,13
2020-03-25,2020,100,7
2020-03-26,2020,52,9
2020-03-27,2020,34,15
2020-03-28,2020,136,9
2020-03-29,2020,143,19
2020-03-30,2020,130,24
2020-03-31,2020,250,25
2020-04-01,2020,118,23
2020-04-02,2020,222,27
2020-04-03,2020,293,49
2020-04-04,2020,837,59
2020-04-05,2020,445,45
2020-04-06,2020,653,64
2020-04-07,2020,1044,48
2020-04-08,2020,1086,100
2020-04-09,2020,820,84
2020-04-10,2020,1041,103
2020-04-11,2020,1408,92
2020-04-12,2020,745,108
2020-04-13,2020,1297,107
2020-04-14,2020,1057,145
2020-04-15,2020,1403,132
2020-04-16,2020,1343,157
2020-04-17,2020,1129,142
2020-04-18,2020,1427,161
2020-04-19,2020,1095,207
2020-04-20,2020,2060,210
2020-04-21,2020,2195,224
2020-04-22,2020,2126,249
2020-04-23,2020,2081,253
2020-04-24,2020,2269,292
2020-04-25,2020,2416,297
2020-04-26,2020,1439,305
2020-04-27,2020,3428,315
2020-04-28,2020,3402,346
2020-04-29,2020,4245,330
2020-04-30,2020,3376,400
2020-05-01,2020,2641,410
2020-05-02,2020,3379,416
2020-05-03,2020,1923,446
2020-05-04,2020,3998,437
2020-05-05,2020,3994,466
2020-05-06,2020,3673,482
2020-05-07,2020,3618,455
2020-05-08,2020,3301,485
2020-05-09,2020,2479,518
2020-05-10,2020,938,520
2020-05-11,2020,3608,519
2020-05-12,2020,4351,454
2020-05-13,2020,4450,507
2020-05-14,2020,3741,534
2020-05-15,2020,4326,506
2020-05-16,2020,4137,499
2020-05-17,2020,1789,535
2020-05-18,2020,5136,616
2020-05-19,2020,5208,525
2020-05-20,2020,5309,543
2020-05-21,2020,5536,522
2020-05-22,2020,6123,517
2020-05-23,2020,5419,545
2020-05-24,2020,1795,578
2020-05-25,2020,7002,579
2020-05-26,2020,7010,545
2020-05-27,2020,7393,589
2020-05-28,2020,6476,550
2020-05-29,2020,5776,637
2020-05-30,2020,4691,601
2020-05-31,2020,2291,570
2020-06-01,2020,4336,663
2020-06-02,2020,3866,541
2020-06-03,2020,2675,549
2020-06-04,2020,4127,616
2020-06-05,2020,5078,591
2020-06-06,2020,4821,609
2020-06-07,2020,2653,571
2020-06-08,2020,4819,619
2020-06-09,2020,5415,596
2020-06-10,2020,5808,617
2020-06-11,2020,7407,602
2020-06-12,2020,5670,562
2020-06-13,2020,4543,632
2020-06-14,2020,2460,601
2020-06-15,2020,4467,634
2020-06-16,2020,3490,615
2020-06-17,2020,4053,605
2020-06-18,2020,3549,526
2020-06-19,2020,3639,612
2020-06-20,2020,3627,586
2020-06-21,2020,1479,544
2020-06-22,2020,4476,538
2020-06-23,2020,3880,549
2020-06-24,2020,4249,527
2020-06-25,2020,4321,522
2020-06-26,2020,4526,528
2020-06-27,2020,3681,537
2020-06-28,2020,1636,538
2020-06-29,2020,2810,498
2020-06-30,2020,3995,556
