year,epi_week,fallecidos,dosis_1,dosis_2,dosis_3
2020,10,3,0,0,0
2020,11,3,0,0,0
2020,12,36,0,0,0
2020,13,64,0,0,0
2020,14,226,0,0,0
2020,15,537,0,0,0
2020,16,950,0,0,0
2020,17,1731,0,0,0
2020,18,2519,0,0,0
2020,19,3284,0,0,0
2020,20,3534,0,0,0
2020,21,3795,0,0,0
2020,22,4072,0,0,0
2020,23,4134,0,0,0
2020,24,4198,0,0,0
2020,25,4176,0,0,0
2020,26,3746,0,0,0
2020,27,3754,0,0,0
2020,28,3950,0,0,0
2020,29,4182,0,0,0
2020,30,4262,0,0,0
2020,31,4398,0,0,0
2020,32,4443,0,0,0
2020,33,4318,0,0,0
2020,34,3795,0,0,0
2020,35,3398,0,0,0
2020,36,2670,0,0,0
2020,37,2217,0,0,0
2020,38,1888,0,0,0
2020,39,1592,0,0,0
2020,40,1216,0,0,0
2020,41,1170,0,0,0
2020,42,977,0,0,0
2020,43,864,0,0,0
2020,44,776,0,0,0
2020,45,752,0,0,0
2020,46,753,0,0,0
2020,47,677,0,0,0
2020,48,687,0,0,0
2020,49,708,0,0,0
2020,50,767,0,0,0
2020,51,835,0,0,0
2020,52,911,0,0,0
2020,53,1108,0,0,0
2021,1,1415,0,0,0
2021,2,2040,0,0,0
2021,3,2938,0,0,0
2021,4,3748,0,0,0
2021,5,4242,0,0,0
2021,6,4779,105769,8,0
2021,7,4922,92319,2,0
2021,8,4787,123945,19,0
2021,9,4755,35244,93107,0
2021,10,4495,74408,81267,0
2021,11,4618,133824,121219,0
2021,12,4884,80380,39044,0
2021,13,5130,25475,65857,0
2021,14,5508,69645,103005,0
2021,15,5622,56647,111846,0
2021,16,5717,118153,29980,0
2021,17,5230,278921,61044,0
2021,18,4777,284016,51675,0
2021,19,4107,395133,109529,0
2021,20,3534,453124,174980,0
2021,21,3103,564758,240987,0
2021,22,2651,318197,210492,0
2021,23,2146,516334,562163,0
2021,24,1709,253140,621385,0
2021,25,1470,344819,366890,0
2021,26,1192,545263,449713,0
2021,27,1005,1039249,259262,0
2021,28,766,963734,322684,0
2021,29,642,881714,485371,0
2021,30,548,426940,831709,0
2021,31,446,675581,932754,0
2021,32,459,489345,688637,0
2021,33,390,437032,597369,0
2021,34,323,633455,585400,0
2021,35,279,890810,556677,0
2021,36,263,1939110,397897,0
2021,37,239,1843101,541208,0
2021,38,226,849086,730745,0
2021,39,210,791200,1454091,0
2021,40,228,593589,1576007,0
2021,41,197,745099,905703,45572
2021,42,211,592790,728863,128174
2021,43,207,489069,560887,61568
2021,44,215,1148584,398542,57107
2021,45,210,840139,609340,84988
2021,46,241,720438,602235,74069
2021,47,249,562319,971340,252823
2021,48,257,404976,790176,667473
2021,49,121,163690,270282,213022
