epi_year,epi_week,deceased,vaccinated
2020,10,2,0
2020,11,3,0
2020,12,30,0
2020,13,62,0
2020,14,223,0
2020,15,530,0
2020,16,941,0
2020,17,1708,0
2020,18,2517,0
2020,19,3247,0
2020,20,3546,0
2020,21,3810,0
2020,22,4068,0
2020,23,4139,0
2020,24,4191,0
2020,25,4172,0
2020,26,3746,0
2020,27,3756,0
2020,28,3946,0
2020,29,4179,0
2020,30,4260,0
2020,31,4401,0
2020,32,4456,0
2020,33,4326,0
2020,34,3802,0
2020,35,3417,0
2020,36,2679,0
2020,37,2221,0
2020,38,1894,0
2020,39,1596,0
2020,40,1219,0
2020,41,1171,0
2020,42,978,0
2020,43,867,0
2020,44,777,0
2020,45,739,0
2020,46,733,0
2020,47,652,0
2020,48,665,0
2020,49,685,0
2020,50,754,0
2020,51,819,0
2020,52,883,0
2020,53,1083,0
2021,1,1407,0
2021,2,2031,0
2021,3,2932,0
2021,4,3741,0
2021,5,4234,0
2021,6,4773,105700
2021,7,4922,92160
2021,8,4786,123771
2021,9,4772,127976
2021,10,4514,154257
2021,11,4653,253147
2021,12,4911,118700
2021,13,5180,90630
2021,14,5539,170817
2021,15,5642,167811
2021,16,5738,147502
2021,17,5251,338542
2021,18,4788,334597
2021,19,4115,501620
2021,20,3538,626289
2021,21,3107,802573
2021,22,2655,525674
2021,23,2154,1075616
2021,24,1713,871948
2021,25,1472,709344
2021,26,1193,992171
2021,27,1006,1296515
2021,28,769,1284595
2021,29,643,1364916
2021,30,552,1256745
2021,31,447,1605168
2021,32,459,1175160
2021,33,389,1030658
2021,34,324,1213651
2021,35,279,1438647
2021,36,264,2323052
2021,37,238,2362638
2021,38,223,1544973
2021,39,211,2127722
2021,40,223,1949882
2021,41,111,1252173
