epi_year,epi_week,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2020,12,0,0,0,0,1,0,0,1,0,0,2,1,0,5,20,3,0,0,0,1,0,0,0,0,2
2020,13,0,4,0,0,0,0,2,3,0,0,3,0,2,5,32,6,1,0,0,2,1,0,0,0,3
2020,14,0,0,0,15,0,2,15,2,0,0,11,2,5,19,119,9,0,0,0,9,0,3,1,3,11
2020,15,1,9,1,8,1,4,42,2,1,3,14,9,9,65,305,19,0,0,1,25,1,1,0,7,9
2020,16,0,24,0,7,2,4,75,0,0,0,30,11,18,117,534,35,0,0,1,65,1,1,0,7,18
2020,17,0,47,3,13,3,4,142,2,2,0,35,11,21,190,849,178,1,1,1,128,2,5,1,16,76
2020,18,2,66,0,14,1,6,151,1,2,4,52,13,44,245,1158,352,0,1,5,222,3,4,1,6,166
2020,19,7,102,1,18,7,4,218,2,2,11,69,27,49,261,1403,552,2,1,3,353,5,9,2,19,157
2020,20,12,96,0,18,7,5,291,5,2,4,75,30,57,263,1663,376,2,2,1,430,2,14,2,29,148
2020,21,9,110,0,22,7,9,349,3,2,22,94,32,81,236,1873,243,4,3,7,487,1,13,3,46,139
2020,22,6,148,3,50,10,9,331,4,4,18,144,40,148,229,2140,161,1,3,3,470,3,21,4,59,63
2020,23,14,150,4,65,9,11,361,5,4,17,196,25,265,185,2093,122,16,1,5,374,4,65,3,80,60
2020,24,11,161,4,100,19,19,281,6,2,29,208,37,324,163,2106,118,27,4,4,333,7,109,3,57,66
2020,25,20,140,6,137,16,19,278,10,1,42,203,58,356,181,2004,89,36,5,8,289,11,163,5,44,55
2020,26,36,112,6,162,13,40,191,5,3,41,182,68,364,125,1758,72,40,7,6,234,15,167,10,46,43
2020,27,46,131,6,248,16,76,167,16,5,57,197,105,356,114,1673,50,42,18,7,205,16,130,6,31,36
2020,28,45,139,5,292,21,103,186,22,19,64,222,164,345,112,1730,55,45,30,14,145,17,107,11,27,30
2020,29,49,135,3,356,40,140,201,34,17,81,215,186,302,121,1764,43,46,36,21,157,31,106,26,28,44
2020,30,51,145,10,389,57,162,195,69,24,66,179,175,287,124,1767,37,22,91,15,127,66,92,50,22,40
2020,31,30,129,11,394,57,139,173,152,22,52,187,202,244,109,1839,36,24,109,12,127,125,83,75,19,48
2020,32,31,117,19,337,61,127,202,173,35,75,189,184,192,125,1848,47,26,136,20,135,154,63,97,20,30
2020,33,21,102,22,291,93,95,168,173,48,64,154,151,194,123,1842,24,20,109,20,175,215,58,113,16,27
2020,34,14,96,20,245,71,88,146,204,36,46,155,110,142,118,1660,25,15,72,18,143,200,48,75,9,39
2020,35,18,103,24,192,48,77,137,142,34,55,126,145,141,112,1455,29,15,59,27,153,140,42,76,17,31
2020,36,8,70,23,142,59,61,110,102,23,33,101,95,106,90,1218,12,5,28,17,125,108,31,51,18,34
2020,37,27,61,19,111,32,46,103,65,20,23,95,74,94,113,994,17,6,16,10,116,69,26,36,19,25
2020,38,21,58,14,94,23,51,102,49,11,23,65,57,94,83,850,10,6,15,12,111,53,24,33,8,21
2020,39,17,45,19,56,24,32,76,57,4,26,83,59,63,84,718,8,4,15,12,82,36,27,18,11,16
2020,40,9,35,10,47,17,27,54,41,6,12,45,41,45,65,568,4,6,12,11,83,26,17,16,7,12
2020,41,7,28,13,55,20,27,66,22,10,20,46,37,39,75,530,11,1,17,7,63,33,18,9,4,12
2020,42,8,32,11,41,17,20,56,19,6,16,30,27,42,78,422,13,2,5,2,64,20,16,6,12,12
2020,43,10,21,4,31,9,21,27,28,7,15,39,35,26,78,372,13,5,11,2,57,19,15,6,8,5
2020,44,4,26,14,26,12,21,35,25,7,12,34,20,41,59,329,3,6,5,3,37,21,11,7,11,7
2020,45,6,25,9,27,4,22,39,16,5,15,27,22,30,53,299,8,3,8,5,64,24,12,10,6,13
2020,46,6,24,11,27,10,19,39,22,7,16,33,20,44,66,286,9,3,5,3,59,13,13,5,4,9
2020,47,3,28,5,32,10,14,24,17,5,9,33,16,45,54,248,7,1,4,0,85,8,9,4,6,10
2020,48,7,19,11,23,4,12,23,12,4,8,31,22,34,72,247,5,1,4,10,96,8,13,5,10,6
2020,49,3,27,7,26,8,19,33,23,1,11,31,21,41,53,235,4,0,7,7,111,9,17,2,6,6
2020,50,3,22,14,26,8,22,28,14,3,13,26,20,35,69,286,7,2,5,6,117,18,5,3,9,6
2020,51,4,35,8,35,10,18,46,15,4,19,49,19,50,61,288,6,4,12,6,100,18,5,3,11,9
2020,52,12,36,10,48,2,23,36,18,4,19,54,21,61,65,331,4,3,15,13,92,15,9,4,10,6
2020,53,3,38,21,49,9,16,48,13,2,34,51,35,66,85,410,9,5,18,10,134,20,7,10,8,7
2021,1,3,62,31,72,6,25,71,28,5,62,63,49,59,68,579,4,3,32,16,114,23,10,13,6,11
2021,2,8,80,27,92,10,35,86,39,10,91,79,103,94,87,879,14,6,26,36,131,28,14,23,23,19
2021,3,14,102,35,112,17,41,149,58,13,108,135,161,131,87,1337,23,13,34,47,161,53,20,51,14,22
2021,4,20,126,29,165,31,48,183,79,24,142,216,185,132,123,1707,49,7,48,30,151,98,22,76,21,36
2021,5,20,108,38,173,40,69,256,91,32,95,243,220,130,128,2038,75,4,32,25,145,93,22,94,23,48
2021,6,23,119,34,181,32,77,265,115,33,130,271,215,177,126,2378,117,6,19,30,139,121,30,78,28,35
2021,7,25,100,28,145,54,53,299,105,45,58,266,235,191,109,2570,164,4,11,25,115,131,26,77,24,62
2021,8,16,94,18,160,60,62,245,149,35,47,215,186,168,104,2628,143,11,10,23,122,113,29,74,25,50
2021,9,18,123,37,149,64,67,255,140,37,38,208,166,168,127,2573,123,10,15,14,139,84,46,74,37,43
2021,10,27,118,26,113,76,83,263,131,25,35,179,139,184,111,2442,100,11,11,18,160,69,34,46,35,59
2021,11,15,139,25,95,58,94,260,117,28,31,154,120,220,117,2552,75,21,9,23,192,69,39,23,52,90
2021,12,16,155,43,89,67,119,264,120,29,32,149,123,271,180,2548,73,35,7,16,236,59,75,24,42,112
2021,13,26,188,29,82,59,138,252,140,37,31,169,139,273,194,2594,47,29,7,30,296,62,86,22,53,147
2021,14,22,226,45,92,61,148,264,169,36,36,216,163,323,238,2595,32,26,6,26,393,75,88,26,54,148
2021,15,35,265,59,137,57,163,230,165,55,57,183,167,397,272,2516,38,24,17,32,425,63,95,22,38,110
2021,16,49,277,79,144,47,201,228,173,47,66,222,216,377,280,2381,44,19,20,29,461,92,106,19,52,88
2021,17,43,264,91,183,59,191,210,166,39,57,211,237,303,270,2107,19,16,19,26,342,104,106,30,53,84
2021,18,48,222,85,209,58,162,164,169,39,65,225,228,306,243,1765,21,10,25,28,340,117,96,38,33,81
2021,19,37,186,63,215,63,131,138,138,40,54,190,228,265,232,1491,22,7,21,35,268,111,70,34,29,39
2021,20,27,167,70,262,65,120,115,130,18,59,154,222,228,191,1117,16,9,26,32,227,119,74,32,23,31
2021,21,26,144,42,292,38,86,99,125,25,55,145,188,213,146,950,20,4,36,32,181,116,48,34,29,29
2021,22,31,98,49,338,27,57,80,106,21,54,137,187,167,114,714,11,5,22,26,163,115,46,35,17,31
2021,23,25,75,20,374,28,47,60,86,11,43,88,163,111,80,565,19,3,16,17,113,99,37,36,11,19
2021,24,10,57,16,334,27,32,46,61,10,28,104,112,79,55,429,14,1,20,9,94,75,29,36,13,18
2021,25,8,42,20,309,24,31,41,55,6,27,74,77,60,59,376,12,3,15,14,71,77,19,28,8,14
2021,26,13,33,12,257,29,39,22,45,9,17,41,72,32,33,315,26,2,23,10,44,63,18,24,10,3
2021,27,10,30,15,171,12,29,37,38,6,10,50,49,37,30,285,23,1,18,4,42,56,12,24,7,9
2021,28,10,20,7,116,13,24,23,36,10,15,57,40,18,20,207,20,3,10,9,34,32,16,16,5,5
2021,29,11,23,8,82,19,16,14,18,2,13,41,22,25,15,173,27,2,10,7,32,41,22,10,2,7
2021,30,7,15,6,50,8,17,14,29,0,8,30,30,16,15,154,14,4,12,8,39,39,12,8,4,9
2021,31,5,8,6,43,11,14,14,22,7,6,24,23,17,13,129,11,1,4,1,33,27,19,4,1,3
2021,32,7,9,6,37,9,20,11,17,4,6,35,25,11,20,135,8,3,11,3,31,22,12,3,4,10
2021,33,6,12,4,17,6,10,20,23,4,6,19,22,14,14,123,5,3,6,4,21,27,9,5,1,9
2021,34,4,14,2,23,8,14,7,14,6,3,15,8,17,7,96,5,0,7,5,24,23,7,1,5,8
2021,35,1,14,3,21,4,8,5,8,2,3,15,9,12,9,97,3,0,3,1,23,25,5,2,5,1
2021,36,5,8,6,13,1,7,7,17,3,3,15,9,18,9,84,2,3,8,1,14,15,8,3,1,3
2021,37,4,6,4,9,8,5,9,13,2,6,5,7,11,7,91,3,1,0,1,18,13,9,3,1,3
2021,38,2,9,6,11,1,8,15,10,2,4,14,10,12,4,68,1,3,6,2,14,17,4,0,2,1
2021,39,1,10,1,18,4,8,4,7,1,0,6,14,10,3,78,2,0,1,2,21,10,5,1,3,0
2021,40,1,9,3,6,6,6,14,9,0,2,11,12,5,9,101,2,0,1,2,12,15,0,2,0,0
2021,41,1,8,2,3,3,5,5,8,3,2,8,11,13,6,85,0,1,1,3,14,12,2,1,0,0
2021,42,2,9,1,7,5,2,7,9,3,3,12,3,11,6,90,0,4,1,1,17,15,3,0,0,0
2021,43,2,5,4,7,7,5,11,13,4,3,8,6,8,2,75,2,0,1,0,14,16,6,5,3,0
2021,44,0,8,3,6,3,4,6,5,2,4,9,7,11,3,95,1,1,2,1,18,13,3,7,3,0
2021,45,2,10,2,7,6,3,4,5,4,2,12,6,16,7,79,0,1,3,3,24,7,3,1,2,1
2021,46,1,11,3,7,6,2,8,4,2,2,10,6,25,5,88,1,2,2,1,32,14,3,6,0,0
2021,47,1,12,3,8,2,4,12,4,4,1,9,4,19,4,117,2,1,1,1,25,6,1,2,4,2
2021,48,3,8,2,9,8,2,9,6,1,2,9,7,23,5,101,0,1,1,1,38,11,3,3,2,2
