epi_year,epi_week,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
2021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,3,0,0,0,0,0,0
2021,9,887,1974,2494,3763,2362,2726,4639,3203,888,2032,3825,5375,6165,2866,35207,1750,372,1006,816,3827,1547,2926,1207,731,456
2021,10,528,1083,833,4584,2804,939,5415,3902,1621,181,2528,3589,3087,3943,29796,1262,168,1373,561,2100,2353,4406,1665,940,1230
2021,11,2724,5543,2809,6466,1421,5081,4596,3054,1835,4661,2406,2852,4813,4079,47632,2488,921,1110,1422,7304,3557,254,1138,514,1818
2021,12,351,1550,489,2037,776,2251,2164,1035,618,975,730,1556,1428,507,15890,1126,282,202,233,983,864,1001,455,421,775
2021,13,170,324,371,336,242,402,9785,298,249,185,194,446,1101,857,48812,329,103,23,226,197,358,22,57,171,159
2021,14,174,543,328,2859,338,534,17419,451,140,265,280,356,5991,285,61985,7704,127,102,127,454,550,290,196,100,315
2021,15,95,4555,130,11599,124,226,9694,291,77,202,2635,244,4684,1138,67299,370,63,149,34,1229,235,4162,75,1614,471
2021,16,120,439,194,568,396,214,2444,825,73,169,2132,2465,210,126,17619,191,45,103,47,590,285,152,91,158,93
2021,17,394,2992,123,367,871,2010,2000,958,405,782,3442,1217,426,490,35358,589,289,171,136,4173,1691,22,559,228,401
2021,18,20,838,8,737,70,526,4631,58,312,36,27,959,371,31,38589,988,45,2,9,773,189,421,1173,81,163
2021,19,1162,183,15,34,33,425,9926,3111,916,56,49,2186,285,2271,74247,1008,9,943,99,4897,58,2310,1317,1123,115
2021,20,11,6785,14,402,1124,3382,7655,6842,33,37,5415,24,13529,8054,105339,1259,7,47,75,5954,2316,625,1045,5,505
2021,21,32,6907,1417,10979,81,5361,8845,7928,226,1539,8071,12015,13081,7525,122710,5711,777,1072,761,10883,2916,2806,2672,17,1233
2021,22,68,93,721,8500,45,6502,10856,6561,20,44,12733,2583,7932,11607,110082,95,82,0,0,23540,2522,19,733,18,28
2021,23,6314,32841,14374,22326,17979,16391,12622,19702,14893,16097,15102,19635,70488,27211,147612,6394,1513,3110,6821,15824,13327,22398,8181,7769,15205
2021,24,8808,15710,5583,46213,8731,15464,18589,13488,8267,11600,32658,16329,53923,36234,238165,17026,419,5961,1969,17780,12049,9893,14095,956,3591
2021,25,2890,3977,5405,16982,8046,23133,12001,27027,846,6463,2061,39324,8361,16327,122474,2930,1091,9119,2023,28289,6983,3088,11948,981,1217
2021,26,1618,25064,2022,27731,3197,8961,24827,12661,398,6442,16220,16614,21491,19810,211717,2461,823,634,1652,28473,2993,1959,6641,2001,493
2021,27,1545,6385,1278,28157,6824,5978,8444,20796,1756,1217,2110,29158,16056,9371,73552,3318,759,1310,1812,12208,6729,7301,7374,3596,739
2021,28,3534,18062,3641,70285,3837,10218,12764,4592,4262,2045,2221,14660,6545,6440,113965,1497,2449,951,3059,7270,10658,7568,3331,3977,3802
2021,29,3933,12925,7097,8679,2529,8428,42829,2579,1198,1727,586,7735,2512,3747,328043,9424,1355,1119,3071,10163,8525,3533,7895,1439,2723
2021,30,4494,26772,4551,27867,11705,39637,48675,25391,1755,4354,10563,20485,30088,19754,472416,17712,895,11576,4786,25159,6659,4359,6060,1395,1671
2021,31,9415,40876,9751,25793,8647,36418,34259,50045,7514,10196,65786,66604,43869,24857,342231,9230,1683,3464,6328,48730,3331,45552,19629,5009,7480
2021,32,12735,39682,22002,8049,7150,23489,32807,39587,15562,15072,12533,14444,6064,13568,282475,17477,2296,1901,18323,22717,11301,22647,14277,6607,22871
2021,33,9072,23550,7809,16197,8532,10440,21671,26775,14516,19692,7000,58943,41587,10874,209908,13723,1839,6975,6761,36502,5471,9309,15489,5998,4972
2021,34,8933,14354,5063,41375,6780,17536,22524,28221,5204,9804,2858,32702,18828,27986,205110,13789,1906,4994,3833,56849,10671,18986,7415,3333,10825
2021,35,3093,13899,4076,53352,12461,32020,13316,18279,3857,7700,47359,16618,52552,15460,136855,6002,3121,6536,10809,23643,22629,10605,9561,9473,18933
2021,36,2543,29835,4900,4691,11944,34520,14274,17112,8686,9324,16847,9355,10084,43120,123648,8868,2374,995,5057,8485,14456,4427,5756,1403,3139
