id_centro_vacunacion,id_ubigeo,nombre,latitud,longitud,entidad_administra,id_eess
2021,1704,C.S. LLALLI 00003164,-14.951101308,-70.881177917,,0
3699,1747,I.E. 0766 Ruben Cachique Sangama - Comunidad Nativa Las Mercedes,-6.92204,-76.63475,,0
154,1747,I.E. 0180,-7.0619828,-76.58990394,MINSA,0
155,1747,I.E. 0482 Ciro Saldaña,-7.0516719,-76.59433619,DIRESA,0
3260,1782,I.E.I. N° 0769 - CASPIZAPA,-6.9549661,-76.4206947,,0
2906,178,CENTRO DE SALUD HUARIPAMPA,-8.951903293,-77.814319502,,0
2907,178,PLAZA DE ARMAS,-8.951654236,-77.814839851,,0
2909,178,MANUEL ASUNCION HUAMAN CORZO N° 86772,-8.931887828,-77.79117472,MINSA,0
2910,178,PLAZUELA DE CONAY,-8.948817588,-77.784930538,,0
2912,178,TAMBO SANTA CRUZ N° 260614,-8.966302941,-77.797960709,MINSA,0
2974,178,COLEGIO N° 87009 CASERIO HUALCAYAN,-8.896952146,-77.801993247,,0
2975,178,COLEGIO DIVINO MAESTRO N° 86807 CASERIO CARANCA,-8.916394216,-77.815503534,,0
2976,178,COLEGIO VIRGEN DE LA ASUNCION N° 86771,-8.920847402,-77.8406128,,0
3053,178,AMADEO GADEA LANDAVERY,-8.949969053,-77.814071739,,0
3054,178,PLAZA DE ARMAS HUARIPAMPA,-8.951670723,-77.814830804,MINSA,0
3055,178,CONAY N° 86555,-8.948788442,-77.784895669,,0
3218,194,PLAZA DE ARMAS DEL DISTRITO DE CONGAS,-10.337686395,-77.440719259,MINSA,0
2367,281,LOZA DEPORTIVA  EL ORO - AYAHUAY,-14.2086426,-73.0581379,,0
3558,464,I.E. SANTOS PALMARES - TONSULLA,-13.334355846,-74.597468048,,0
3562,464,CASA COMUNAL IGLESIAHAUSI,-13.535753397,-74.747691581,,0
3563,464,FELIPE PARDO Y  ALIAGA,-13.551135727,-74.630821458,,0
3566,464,I.E. INDEPENDENCIA AMERICANA LICAPA,-13.357210031,-74.857835507,,0
3569,464,I.E. SAN MARCOS,-13.558094013,-74.733889271,,0
3312,757,PALLPATA,-14.8890679,-71.2084828,MINSA,0
2200,812,LOCAL MUNICIPAL (JUGUEMOS),-12.5197388,-75.0068881,,0
2201,812,LOCAL MUNICIPAL (JUGUEMOS),-12.5197388,-75.0068881,DIRESA,0
2160,845,PLAZA PRINCIPAL LAMBRAS - SAN ANTONIO DE ANTAPARCO,-13.0755659,-74.4105862,MINSA,0
1869,845,IPRESS - P.S. SAN ANTONIO DE ANTAPARCO,-13.0755632,-74.4106238,MINSA,0
1870,845,LOCAL COMUNAL LAMBRAS,-13.0758898,-74.4408385,MINSA,0
2239,845,IPRESS - P.S. MAICENA,-13.0641103,-74.419645,MINSA,0
305,1004,Ie Andres Avelino Caceres,-14.01974952,-75.75741936,MINSA,0
563,1004,Ie 22358,-14.01822141,-75.75832136,C.S.SUBTANJALLA,0
3695,1133,C.A. ACOBAMBA,-11.353787841,-75.663088008,MINSA,0
3484,1192,"POLIDEPORTIVO""RAMON CASTILLA "" - OTUZCO",-7.9058992,-78.5604816,MINSA,0
3439,1192,I.E. JUAN ALVARADO - OTUZCO,-7.9022511,-78.5662345,MINSA,0
3440,1192,I.E. SIMON BOLIVAR  - OTUZCO,-7.902401,-78.565608,MINSA,0
3441,1192,I.EP. JOSE MARIA ALVAREZ  - OTUZCO,-7.905015343,-78.560512146,MINSA,0
2137,1340,LOCAL COMUNAL SAN BUENAVENTURA,-11.489339408,-76.662183065,MINSA,0
3654,1385,C.S HUINCO,-11.76939,-76.61403,DIRESA LIMA,0
2420,1385,P.S CHACLLA,-11.8289311,-76.8028933,DIRESA LIMA,0
2446,1451,FRONTIS DEL ESTABLECIMIENTO VIÑAC,-12.930823,-75.7803892,DIRESA LIMA,0
881,1532,Complejo Deportivo Ubinas,-16.385731,-70.855602,MINSA,0
882,1532,Completo Deportivo Ubinas,-16.385731,-70.855602,,0
2712,1536,I.E. AMERICO GARIBALDI GUERSI,-17.615246988,-71.338606297,MINSA,0
2206,1647,DISTRITO ACHAYA,-15.2872484,-70.1615719,MINSA,0
1872,1680,P.S.CACHIPUCARA,-16.033218541,-69.450010729,MINSA,0
1873,1680,P.S.MAQUERCOTA,-16.094387651,-69.508602715,MINSA,0
1874,1680,P.S. ACCASO,-16.0278188,-69.4586533,,0
