DEPARTAMENTO,fallecidos,no_habitantes,tasa_mortalidad
AMAZONAS,1253.0,426806,0.2935760040861656
ANCASH,6657.0,1180638,0.5638476823547945
APURIMAC,1505.0,430736,0.34940195386501244
AREQUIPA,9666.0,1497438,0.6455025183012586
AYACUCHO,2108.0,668213,0.3154682713446162
CAJAMARCA,4126.0,1453711,0.28382532704230756
CALLAO,9962.0,1129854,0.8817068399987964
CUSCO,4765.0,1357075,0.3511228192988597
HUANCAVELICA,1153.0,365317,0.3156163003637936
HUANUCO,2692.0,760267,0.3540861302673929
ICA,8348.0,975182,0.8560453330762873
JUNIN,7006.0,1361467,0.5145919805621436
LA LIBERTAD,10175.0,2016771,0.504519352965706
LAMBAYEQUE,8601.0,1310785,0.6561716833805696
LIMA,88569.0,10628470,0.8333184362377651
LORETO,4172.0,1027559,0.406010749747703
MADRE DE DIOS,768.0,173811,0.44185926092134564
MOQUEGUA,1515.0,192740,0.7860329978208987
PASCO,1045.0,271904,0.3843268212310227
PIURA,11961.0,2047954,0.584046321352921
PUNO,4140.0,1237997,0.3344111496231413
SAN MARTIN,3001.0,899648,0.3335749092978587
TACNA,1950.0,370974,0.5256433065390027
TUMBES,1563.0,251521,0.6214192850696364
UCAYALI,3091.0,589110,0.5246897862877901
PERÚ,199792.0,32625948,0.6123714780640244
